title,original_title,overview,release_date
The Wolfman,The Wolfman,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",2010-02-10
Due Date,Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010-11-03
Bizet: Carmen,Bizet: Carmen,"Richard Eyre’s stunning new production of Bizet’s opera was the talk of the town when it was unveiled on New Year’s Eve 2009. Elīna Garanča leads the cast as the iconic gypsy of the title—a woman desired by every man but determined to remain true to herself. Roberto Alagna is Don José, the soldier who falls under her spell and sacrifices everything for her love, only to be cast aside when the toreador Escamillo (Teddy Tahu Rhodes) piques Carmen’s interest. With dances created by star choreographer Christopher Wheeldon and conducted by rising maestro Yannick Nézet-Séguin, this Carmen brings every aspect of Bizet’s tale to thrilling life, from its lighthearted beginning to its inevitably tragic climax.",2010-01-15
Russian Snark,Russian Snark,"Misha (Stephen Papps), a once celebrated filmmaker who has fallen on hard times, resolves to leave his homeland in search of a film-friendly country where he can pursue his career. With his wife Nadia (Elena Stejko) in tow he sets sail from Russia in a tiny lifeboat, drifting cross the Pacific to finally arrive in New Zealand. Before long Misha realises that New Zealand is no more receptive to his ideas and aesthetic than Russia. Yet he perseveres with his experimental film, ignoring his wife’s pleas to find work. Misha increasingly withdraws into himself, and his relationship with Nadia collapses. Alone, his obsessions take hold and he steadily descends into madness. Only a chance encounter with a young Polynesian woman saves him from the ultimate act of self-destruction. His friendship with Roseanna (Stephanie Tauevihi) inspires a re-awakening, as he begins to reconnect with the world around him.",2010-07-20
Pentecost,Pentecost,"Ireland 1977. Eleven-year-old Damian Lynch (Scott Graham) is called in at the last moment to serve as an altar boy at an important mass in his local parish. Following his last appearance as an altar boy when he knocked Father O'Toole off the altar, Damien is serving a 3 month ban from his only passion in life...football. To make matters worse, Damian's team, Liverpool FC, are playing in their first European cup final in two weeks time. Damien's father (Michael McElhatton) offers him a reprieve and crucially a chance to see the European cup final if he serves the mass correctly. Damien now faces a choice: either conform to the status quo or never watch his beloved Liverpool play again...",2010-11-01
Tangled,Tangled,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",2010-11-24
Splettrhex,Splettrhex,"Imagine this: Jim Button, Vincent Price, and Sam Raimi sitting together over a beer after work. Over the course of the evening, they decide they should do something together... But since such a meeting never took place, the young Berlin puppet maker Florian Moch took it upon himself to combine the relevant influences in a film. The result is probably the world's first puppet splatter horror film. It bears the meaningful title ""Splettrhex.""",2010-04-01
Blood Ties,Magkakapatid,"Magkakapatid is a story about a family that drifts apart due to socio-economic differences. Three siblings, three narratives, one tragedy, wherein a brother kills his own brother, a father struggles to accept a daughter’s marriage, and a daughter who could not mourn. In a situation where even traditions can’t pull them together, a tragedy drags them together.",2010-07-10
Mr. Hush,Mr. Hush,"What is the ultimate horror? For Holland Price, it is losing everything he loves. Holland is a devoted family man whose life is turned upside-down by a horrifying figure one Halloween night.  Holland spends ten years searching the country, filled with self-torment and suffering, as he is haunted by his nightmares of that terrible night. He is drawn back to the small town of Layton, PA where he finds work in a restaurant owned by his friend, Mac. There he meets Debbie and begins to regain stability and peace in his life. But once his life adjusts to normal, Mr. Hush and his henchman, Stark, arrive. Driven by a lifetime of hatred toward the Price family, Mr. Hush continues to taunt Holland. But why? Follow our hero on his emotional rollercoaster ride as he descends into a dank and villainous world to see the face of darkness for what it is the face of Mr. Hush.  Two men, fueled by love lost, collide in this chilling battle of good vs. evil.",2010-10-23
Once Fallen,Once Fallen,"When Chance (Brian Presley) returns home after five years in jail, he is determined to escape his past, start a new life and make peace with his father, (Ed Harris, Golden Globe® winner), who is the head of the Aryan Brotherhood prison gang and serving a life sentence for murder. Upon his release, his dreams of a crime-free future begin to disintegrate when he is forced to assume his best friend's outrageous debt to a local mobster. Despite being thrust back into a world of organized fighting, drug dealing and ties to corrupt police agents, Chance falls in love with Pearl (Academy Award® nominee Taraji P. Henson) and the prospect of living a normal life seems almost within reach. But will he be able to escape the crimes of his father and his past?",2010-11-02
Alice in Wonderland,Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03
Shameless,Maskeblomstfamilien,It's the summer of 1951 in Oslo. Lillian and Amund Wang are blessed with their first and only child. Adrian Wang - a boy or a girl?,2010-10-01
The Bigtop,The Bigtop,"Vincent O'Malley endures a home life on the prairie under the oppressive eyes of his father. The arrival of a circus in Vincent's home town leads Vincent to run away. Vincent assumes the role of a clown, but realizes that his new family is in need of an audience and the muscle and daring to acquire it. Vincent leads his friends in missions to gather crowds to the circus tent. The arrival of a young girl, however, sets Vincent on edge as he begins to suspect that those around him are thwarting the acquisition of his true love. As jealousy leads to a precipice of loneliness and annihilation, Vincent must come to a reckoning with his true nature and with his place in the universe.",2010-01-01
The Idiot,The Idiot,"A small farm town in Kentucky bands together to prevent the evil mayor and his capitalist cronies from taking over and turning their town into a shopping mall.  It all comes down to a bet – can the local village idiot, Dingus, beat an Olympic wrestling champion – Alekski “The Bear From Belarus” Cavalenko from Mother Russia in a wrestling match for the ages!  This is one helluva match-up.",2010-01-01
Lost in Africa,Kidnappet,"Simon, an adopted boy of a Danish couple visiting Kenya with his mother, goes missing in Kibera slum. When his mother offers a reward on TV, the kidnappers are on the run.",2010-10-07
Perfect Education: A Maid for You,完全なる飼育 メイド、for you,"The seventh film of “The Perfect Education” series tells the tale of a man and a girl who pursue love to the point of madness. With erotic dances and love scenes shot in 3D, the film dpicts a “pure love” story tied with sexual desires. “Welcome home, Master!” Kabashima is a regular at the maid cafe. He is head over heels in love with Ichigo, a maid who works there. On her birthday, he is waiting for her by the back door, she exits finally…several hours later, she awakes only to find herself surrounded by thin, plywood walls, her feel, hand, and mouth bound and gagged with packing tape. Amid the darkness, Kabashima quietly opens his mouth, “this is our house. Let’s live intimately together.”",2010-01-30
Gantz,Gantz,"After trying to rescue a man on the subway tracks, two teens wake up in a room dominated by a mysterious black sphere that sends them to hunt down and kill aliens hiding on Earth.",2010-11-29
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",2010-06-23
A Serbian Film,Srpski film,"Retired porn star Milos leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",2010-01-06
Shutter Island,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",2010-02-14
En mor till salu,En mor till salu,"The year is 1926 and Valter Liljefors has passed away. Valter's daughter Rut is very disappointed when she realizes that there is no money to inherit. The only thing of value is the house, and her mother Elsa lives there. However, the will states that if Elsa remarries, the house will go to Rut, who immediately begins looking for a suitable candidate. The plot also includes a shady priest, a sluggish valet, Götaland's most annoying brat, a naive stepsister, an unknown man and a refreshed Danish couplet singer.",2010-04-20
Digital Nation,Digital Nation,"Digital Nation is a new, open source PBS project that explores what it means to be human in an entirely new world -- a digital world. It consists of this Web site as well as a major FRONTLINE documentary to be broadcast on Feb. 2, 2010. Our production team is posting rough cuts and raw footage on the web, and gathering input, feedback and stories from users as we go.",2010-02-01
The Confession,The Confession,"Sam can't think of any sins to tell the priest at his first confession. He worries that he won't be a real Catholic if the priest doesn't absolve him of some misdeed. Jacob, Sam's friend, devises a solution in the form of a prank, but the result is tragic.",2010-06-12
Despicable Me,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08
Forever Young: How Rock 'n' Roll Grew Up,Forever Young: How Rock 'n' Roll Grew Up,"Despite the mantra of 'live fast, die young', Britain's first rock 'n' roll generations are now enjoying old age. What was once about youth and taking risks is now about longevity, survival, nostalgia and refusing to grow up, give up or shut up. But what happens when the music refuses to die and its performers refuse to leave the stage? What happens when rock's youthful rebelliousness is delivered wrapped in wrinkles?",2010-07-02
How to Train Your Dragon,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",2010-03-18
The Cutting Edge: Fire & Ice,The Cutting Edge: Fire & Ice,"After her partner's career-ending injury, a former figure skater shifts gears to become an instructor. Later, she finds the strength to return to competitive skating by partnering with an unconventional and notorious speed skater.",2010-03-14
Art House,Art House,"A communal house left in trust many years ago to provide art students support in the way of free housing, ART HOUSE has accumulated its share of legends, lore, art, art junk and a reputation for hard partying. When a university dean and an influential descendant of the original benefactor decide to turn the place into housing for varsity golf, the residents only chance of blocking the move is to prove their value and vitality as an artistic community. The burden is on art student Nora Ohr (Greta Gerwig), who is energetic, compassionate, but by no means perfect. Can the residents of ART HOUSE get their act together and make a name for themselves as artists before they're kicked out?",2010-04-16
Sennentuntschi: Curse of the Alps,Sennentuntschi,"1975, Swiss Alps: In a remote mountain village, a beautiful and mysterious woman shows up. Only the village policeman takes care of the strange woman and tries to find out who she is. There are hints that she came from the Höhenalp Alp, where herdsmen do unthinkable things to get the company of women. Many dark truths are revealed that should better have remained hidden. A tragedy of lust, insanity and murder is brought to a seemlingly pure and perfect world. It is the beginning of a nightmare of religious insanity, hypocrisy, abuse and belief in demons, who destroys a young family and brings a whole village to destruction.",2010-09-23
Vampegeddon,Vampegeddon,"Chased out of the old world, the dark vampire lord Giovanni flees to the American southwest where he sets up a new brood. Longshank, Brittan's premier vampire slayer follows him here, and in a final confrontation in the Arizona desert both are killed. A hundred years later Melissa, a gorgeous, goth, lesbian college student, is obsessed with becoming a vampire and escaping her terrible home life. Along with her four friends, Ted, Liz, Mona, and Kent, she regularly conducts ceremonies where she tries to commune with dark forces. When she buys an old, evil book at a creepy garage sale she finally has the key she has been searching for. Following her dreams of Giovanni and a map in the book the five friends hike out to ""Massacre Lane"" and finally summon up some real vampires.",2010-05-05
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",2010-08-12
The Robber,Der Räuber,"A champion marathoner leads a double life as a serial bank robber, sprinting between fixes (and away from police cavalcades) as many as three times a day.",2010-02-26
Metropolis Refound,Metropolis refundada,Argentinian film historians find a complete print of Fritz Lang's “Metropolis” (1927) at Buenos Aires Film Museum and take it to Germany for its restoration.,2010-02-13
St. Roz,St. Roz,"Minnie Barr's weight-loss empire is booming in Hamilton. She has but one thorn in her side: her overweight daughter Judy. In a poor church near the steel mills, a corpulent altar girl discovers that she loses a pound whenever she lights a dollar candle before a recently delivered statue. Women swarm the church. One of them is Judy. Within weeks, St. Roz is an international star. And as Judy celebrates her new figure, her mother's world, along with the rest of the forty billion dollar weight loss industry lies in tatters. Powerful forces decide that the statue must disappear. Two gentle forces decide to save her.",2010-09-16
El Infierno,El Infierno,"After being deported back to Mexico, a man has no choice but to join the vicious drug cartel that has corrupted his hometown in order to survive.",2010-09-03
Megamind,Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",2010-10-28
The Beginner,The Beginner,"Carter never left his sleepy, suburban, NYC commuter-community after finishing High School. When his friends finish college and return home for a brief visit before starting their adult lives, he is spurred to action. He cashes in his unused college fund, packs a suitcase, and leaves home determined but without direction.",2010-03-05
The Tourist,The Tourist,"American tourist Frank meets mysterious British woman Elise on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",2010-12-08
Shrek Forever After,Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",2010-05-20
Shrek Forever After,Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",2010-05-20
Skyline,Skyline,"When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.",2010-11-11
Frost Giant,Arctic Predator,A team searching for a long-lost ship in the Arctic unwittingly unleash an alien creature that looks like it's made of ice.,2010-08-20
The Messanger,Boðberi,"Páll thinks he is just like everyone else, that is until he begins to have vivid visions about life after death. At first he has a open mind about them, but discovers through them an evil plot. The visions show him a spree of killing of important people within society. A panic ensues, and Páll gets tangled in a plot with powerful people and a cult that could destroy society.",2010-07-07
Chloe,Chloe,"A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",2010-02-25
Security,Sekjoeritie,"Tjitske, who makes news items for television, gets permission from her boss to make her first long documentary about a hot topic; the increasing popularity of right wing ideas, a film about the 'underbelly' of society. Security guard Bob, seems to be the perfect main character for her film. In his work he meets VIP's, activists, street scum and other assertive people. Smooth talking and with dignity, charm and humor Bob manages to control difficult situations. With both feet in the soil of the multicultural society he appears to be unexpectedly subtle. Tjitske challenges him but is being confronted with her own prejudices. And the more she gets to know Bob, the more she is starting to really like him...",2010-03-02
Sadhyam,Sadhyam,"Priyamani stars as Suhani, who�s too scared to lead a normal life. She works in a Software company where everyone takes her for granted. One fateful night, she rescues Krishna Prasad (Tanikella Bharani) who�s injured after a car accident. When he wakes up, the two have a conversation where Suhani tells him how she�s scared about everything, of everyone. Having understood her anger and frustration, he �gifts� her, a revolver with one bullet and tells her to take revenge on that one person she hates the most. The rest of the story is narrated in intermittent flashbacks as Suhani recounts the details of her life, people she has met including Sandip (Jagapathi Babu) and hated the most for what they have done to her.",2010-03-05
Amphibious Creature of the Deep,Amphibious 3D,"Marine biologist Skylar Shane hires an expat charter boat captain, Jack Bowman, to help her find prehistoric life form samples in the north Sumatran Sea. During the expedition, they run into some of Jack's 'friends', a gang of smugglers headquartered on a fishing platform in the middle of the sea. Tamal, an orphan sold into servitude on the fishing platform by his uncle, a 'Dukun' (sorcerer and master of black magic) shaman, begs Skylar to take him away. She empathizes with the boy, who reminds her of her lost daughter, Rebecca, and is determined to help him, not knowing what lurks beneath the dark inky water, waiting to surface. Ever since Tamal arrived, mysterious things begin to happen, until one by one the smugglers will be killed by the terrifying creature from the deep. In the middle of an eerie, violent storm, the animus inside Tamal grows stronger, calling for the ancient creature of his nightmares...",2010-10-12
Drones,Drones,"Brian Dilks is an Office Drone. He spends his days at OmniLink in comforting monotony: facilitating the movement of product around the country, faxing, copying, joking with his best friend, Clark, and harmlessly flirting with fellow cubicle-mate, Amy. But how well does anyone really know the people they work with? When Brian discovers an improbable secret about his best friend, everything in Brian’s world changes and his safe life of workplace detachment is no longer an option. Shocked out of his mind-numbing routine by this new discovery, Brian throws himself into a star-crossed romance with Amy––yet close encounters of the office kind, like sales or intergalactic war, is an uncertain business.",2010-01-23
Native Son,Native Son,"John, lives in a remote area of Scotland. The primary industry is potato farming and John is a picker who lives for the harvests; it is all he has in his life. He yearns for a life that he does not know how to make for himself - a home and family. John exhibits all the signs of someone who has suffered unknown tragedies in his life, but those reasons are hidden from the viewer. While driving back to town on a dark and isolated road, John comes upon a car stopped up ahead. He immediately can see a hose attached to the exhaust pipe. He has come upon a suicide. Suddenly, headlights appear in the opposite direction and John's immediate reaction is to hide, though he has done nothing wrong. That choice leads John to take the body of the dead young woman to a shed in the woods.",2010-05-15
Grown Ups,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010-06-24
Barbie in A Mermaid Tale,Barbie in A Mermaid Tale,"Barbie stars as Merliah, a surfer who learns a shocking secret: she's a mermaid! She and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of Oceana.",2010-01-25
Aschenputtel,Aschenputtel,"Little Marie is turned into a maid, a Cinderella, by her stepmother, while her stepsister Clothilde is pampered. One day, Prince Leonhard and his friend Peter appear, both disguised as servants, and present Clothilde with an invitation to a masked ball. Cinderella falls in love with Leonhard and fights to be allowed to go to the ball because she wants to see her supposed servant again. However, the ambitious stepmother only gives her own daughter a beautiful dress. But the magic tree on Marie's mother's grave throws down a beautiful dress. Cinderella shines at the ball and enchants the prince, but just before midnight, before the spell expires, she flees. Will the prince be able to love a Cinderella?",2010-12-24
From Paris with Love,From Paris with Love,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",2010-02-04
Once Brothers,Once Brothers,"Drazen Petrovic and Vlade Divac were two friends who grew up together sharing the common bond of basketball. Together, they lifted the Yugoslavian National team to unimaginable heights. After conquering Europe, they both went to USA where they became the first two foreign players to attain NBA stardom. But with the fall of the Soviet Union on Christmas Day 1991, Yugoslavia split up. A war broke out between Petrovic's Croatia and Divac's Serbia. Long buried ethnic tensions surfaced. And these two men, once brothers, were now on opposite sides of a deadly civil war. As Petrovic and Divac continued to face each other on the basketball courts of the NBA, no words passed between the two. Then, on the fateful night of June 7, 1993, Drazen Petrovic was killed in an auto accident. This film will tell the gripping tale of these men, how circumstances beyond their control tore them apart, and whether Divac has ever come to terms with the death of a friend before they had a chance to reconcile.",2010-10-12
Verdi Attila,Verdi Attila,"In celebration of Verdi's anniversary year, the Mariinsky label presents a high-definition video recording of Verdi's Attila, led by maestro Valery Gergiev, produced by Arturo Gama and featuring acclaimed Russian bass Ildar Abdrazakov in the title role. A two-time GRAMMY Award winner for his Verdi readings, Abdrazakov has quickly established himself as one of opera's most sought-after basses. Since making his La Scala debut in 2001 at only 25, the Russian singer has become a mainstay at leading houses worldwide. Filmed in the Mariinsky Opera House, the DVD includes a stunning picture gallery of scenes from the performance. As is the case with many of Verdi's operas, Attila is imbued with the spirit of Risorgimento, the national liberation movement of the Italian people against foreign rule and for the unification of Italy. Looking ahead, Atilla is the first of four opera DVDs that are planned for release on the Mariinsky label in 2013.",2010-08-18
Eat Pray Love,Eat Pray Love,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",2010-08-12
The Nutcracker,The Nutcracker,"In 1920s Vienna, a young girl receives a magical doll on Christmas Eve.",2010-11-24
A Horrible Way to Die,A Horrible Way to Die,"An escaped murderer is in pursuit of his ex-girlfriend, who has fled to start a new life in a small town.",2010-09-14
Prometeo Deportado,Prometeo Deportado,"In an unknown first world airport the arrival of an ecuadorian flight is heard. The 'members of the European Union' passby migration, while the 'others', in the other line, wait. In the middle of the claims, a group of ecuadorians is arrested. They are taken to the Room, where they wait to be deported. Seems like everyone hides something, like PROMETEO the young magician with his hands tied like a delinquent who has a 'magical' trunk as luggage. Time passes, a way of being, Ecuador happens in this waiting room. Seems like there is no possible exit. Meanwhile, a different but well-known way of life takes place. The only thing left as a promising way out is illusion.",2010-10-01
In Concert at The Met,In Concert at The Met,"In Concert at the Met (DVD) - Highlights Five of the Met's greatest stars - Price, Horne, Troyanos, Domingo, and Milnes - joined James Levine for a series of irresistible concert programs, originally telecast in the 1980s. Featuring works by composers ranging from Handel to Meyerbeer to Puccini and Verdi, these performances include some of opera's favorite moments, delivered by a stunning group of legendary artists. Plàcido Domingo, Tatiana Troyanos (February 28, 1982) Leontyne Price, Marilyn Horne (March 28, 1982) Plàcido Domingo, Sherrill Milnes (January 30, 1983)",2010-01-01
3 Char Sau Bees,3 Char Sau Bees,"Selvan (Govindankutty), Rahul and Zulfi are three engineering students who lead a double life and are involved in robbing ATMs when not in college. They trick a millionaire (Salim Kumar) into installing webcams in his house under the premise of surveillance. However they use the webcams themselves to monitor the house to plan for a robbery. When they finally reach the house to rob money, they are met with an unpleasant surprise.",2010-08-20
I Do,I Do,"Mayumi is a girl with a happy disposition in life who dreams of meeting her ""the one"" someday. She has been dreaming of meeting her ""the one"" and having the perfect wedding ever since she was a little girl. When she meets Lance, a Chinese descendant, in a wedding, she immediately knows that he is ""the one"" she is waiting for, her faith and destiny. The two of them become lovers despite the unwillingness of their families to their relationship.",2010-09-29
X Game,×ゲーム,"After a childhood friend's suicide, Hideaki and his former classmates reunite to pay their respects. Soon after, a DVD, marked X arrives revealing a man being tortured, triggering a flashback in Hideaki, reminding him of witnessing a schoolmate being subjected to humiliating batsu (punishment) games. One evening, Hideaki is kidnapped and when he awakens the next day, he discovers he is in a recreation of his old school-room, along with his fellow classmates. Trapped and held captive by mysterious hooded figures, each of them must now play a brutally violent, version of the punishment game, in order to survive.",2010-09-18
